sequence,run_id,repetition,cell,candidate,scenario,prompt_sha256,model,reasoning_effort,codex_version,candidate_commit,started_at,elapsed_seconds,first_input_tokens,first_cached_input_tokens,first_output_tokens,first_reasoning_output_tokens,total_input_tokens,total_cached_input_tokens,total_output_tokens,total_reasoning_output_tokens,combined_input_tokens,combined_cached_input_tokens,combined_output_tokens,combined_reasoning_output_tokens,child_calls,tool_calls,instruction_status,R_start_bytes,R_read_bytes,checklist_1,checklist_2,checklist_3,checklist_review_status,valid_run,runtime_evidence_status,summary_sha256,notes
15,r2-l1-b3,2,L1,B3,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T14:59:10.703122+00:00,153.8312251669704,20958,12544,442,163,256900,222208,6423,3435,256900,222208,6423,3435,0,7,unavailable,1753,4078,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,0dcacf13122a47e20b054d4d769b5fa33371ef9698b41536048225c552791886,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
16,r2-l1-b0,2,L1,B0,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T15:02:36.823460+00:00,96.1020089579979,23555,6528,350,198,151452,115456,4488,1580,151452,115456,4488,1580,0,4,unavailable,1753,613,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,1ae041313639b6ce921e0067b7dab78b2996c5f192ac7fd1bb03e49536ebd631,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
17,r2-l2-b1,2,L2,B1,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T15:05:53.978639+00:00,205.7536931670038,20602,0,305,104,716367,634368,8593,4484,716367,634368,8593,4484,0,15,unavailable,1753,4685,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,afd6b78a4fc3faf03aafab30f999a313fb65ed558519e768477aad826079ed2b,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
18,r2-l2-b2,2,L2,B2,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T15:10:23.702110+00:00,184.85073866700986,20812,6528,307,75,570857,498816,8164,4106,570857,498816,8164,4106,0,11,unavailable,1753,762,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,f7021513192b87af9699b2083e3eb53e273a7538d0968dd9ed69b0fa61a9195f,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
19,r2-l2-b3,2,L2,B3,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T15:13:57.796620+00:00,100.43117791594705,20973,12544,306,100,198837,172672,4623,1693,198837,172672,4623,1693,0,6,unavailable,1753,1718,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,9687203c80937e05929e815448a4cab44b0672cdf5080e475108b4771d1eceb9,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
20,r2-l2-b0,2,L2,B0,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T15:16:04.746489+00:00,218.72000845900038,23570,6528,311,88,1102664,1013376,8663,4435,1102664,1013376,8663,4435,0,16,unavailable,1753,2245,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,9e613d3f2345a4c05c96acf96f249e094ae8ffeff664bad3ac53afb4a28612e0,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
21,r2-l3-b1,2,L3,B1,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T15:20:19.967476+00:00,192.3669799999916,20648,12544,343,185,565605,521728,8328,3551,565605,521728,8328,3551,0,14,unavailable,1753,16476,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,eb3f683d027979a5666729e700cc53c16be3664b02f785375759be3b29f6d5ae,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
22,r2-l3-b2,2,L3,B2,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T15:24:01.308402+00:00,144.2121911669965,20818,12544,313,103,216145,181504,6510,3087,216145,181504,6510,3087,0,6,unavailable,1753,3935,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,0693878a998af5902897c1b712e8d85d69d3faa0fcedd41907cff55a8673be1f,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
23,r2-l3-b3,2,L3,B3,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T15:26:51.809494+00:00,122.77314841700718,20979,6528,284,106,230138,136192,5652,3143,230138,136192,5652,3143,0,6,unavailable,1753,6706,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,0edae5422a199a87fdddd9ac291176cd73937b3101c63d80b5053baf3beee6c6,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
24,r2-l3-b0,2,L3,B0,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T15:29:24.377681+00:00,279.3182374169701,23576,6528,307,102,375839,309888,6513,2418,375839,309888,6513,2418,0,9,unavailable,1753,4601,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,cd0ed7b031c69246574f4164c5eae1ea23e11b63278977275304d3ca359e9610,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
