sequence,run_id,repetition,cell,candidate,scenario,cwd,sandbox,prompt_sha256,status
43,r1-c11-b2,1,11,B2,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
44,r1-c11-b3,1,11,B3,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
45,r1-c12-b0,1,12,B0,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
46,r1-c12-b1,1,12,B1,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
47,r1-c12-b2,1,12,B2,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
48,r1-c12-b3,1,12,B3,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
49,r1-c13-b0,1,13,B0,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
50,r1-c13-b1,1,13,B1,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
51,r1-c13-b2,1,13,B2,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
52,r1-c13-b3,1,13,B3,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
53,r1-c14-b0,1,14,B0,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
54,r1-c14-b1,1,14,B1,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
55,r1-c14-b2,1,14,B2,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
56,r1-c14-b3,1,14,B3,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
57,r1-c15-b0,1,15,B0,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
58,r1-c15-b1,1,15,B1,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
59,r1-c15-b2,1,15,B2,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
60,r1-c15-b3,1,15,B3,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
61,r1-c16-b0,1,16,B0,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
62,r1-c16-b1,1,16,B1,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
63,r1-c16-b2,1,16,B2,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
64,r1-c16-b3,1,16,B3,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
65,r1-c17-b0,1,17,B0,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
66,r1-c17-b1,1,17,B1,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
67,r1-c17-b2,1,17,B2,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
68,r1-c17-b3,1,17,B3,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
69,r2-c01-b1,2,01,B1,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
70,r2-c01-b2,2,01,B2,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
71,r2-c01-b3,2,01,B3,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
72,r2-c01-b0,2,01,B0,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
73,r2-c02-b1,2,02,B1,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
74,r2-c02-b2,2,02,B2,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
75,r2-c02-b3,2,02,B3,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
76,r2-c02-b0,2,02,B0,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
77,r2-c03-b1,2,03,B1,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
78,r2-c03-b2,2,03,B2,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
79,r2-c03-b3,2,03,B3,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
80,r2-c03-b0,2,03,B0,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
81,r2-c04-b1,2,04,B1,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
82,r2-c04-b2,2,04,B2,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
83,r2-c04-b3,2,04,B3,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
84,r2-c04-b0,2,04,B0,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
85,r2-c05-b1,2,05,B1,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
86,r2-c05-b2,2,05,B2,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
87,r2-c05-b3,2,05,B3,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
88,r2-c05-b0,2,05,B0,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
89,r2-c06-b1,2,06,B1,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
90,r2-c06-b2,2,06,B2,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
91,r2-c06-b3,2,06,B3,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
92,r2-c06-b0,2,06,B0,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
93,r2-c07-b1,2,07,B1,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
94,r2-c07-b2,2,07,B2,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
95,r2-c07-b3,2,07,B3,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
96,r2-c07-b0,2,07,B0,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
97,r2-c08-b1,2,08,B1,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
98,r2-c08-b2,2,08,B2,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
99,r2-c08-b3,2,08,B3,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
100,r2-c08-b0,2,08,B0,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
101,r2-c09-b1,2,09,B1,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
102,r2-c09-b2,2,09,B2,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
103,r2-c09-b3,2,09,B3,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
104,r2-c09-b0,2,09,B0,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
105,r2-c10-b1,2,10,B1,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
106,r2-c10-b2,2,10,B2,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
107,r2-c10-b3,2,10,B3,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
108,r2-c10-b0,2,10,B0,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
109,r2-c11-b1,2,11,B1,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
110,r2-c11-b2,2,11,B2,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
111,r2-c11-b3,2,11,B3,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
112,r2-c11-b0,2,11,B0,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
113,r2-c12-b1,2,12,B1,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
114,r2-c12-b2,2,12,B2,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
115,r2-c12-b3,2,12,B3,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
116,r2-c12-b0,2,12,B0,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
117,r2-c13-b1,2,13,B1,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
118,r2-c13-b2,2,13,B2,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
119,r2-c13-b3,2,13,B3,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
120,r2-c13-b0,2,13,B0,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
121,r2-c14-b1,2,14,B1,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
122,r2-c14-b2,2,14,B2,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
123,r2-c14-b3,2,14,B3,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
124,r2-c14-b0,2,14,B0,N2,.,read-only,1c39b0d01c7c354aa9d7ea436b3b39f0d1bba8a247a78de1bcb2e22555f7db9c,PLANNED
125,r2-c15-b1,2,15,B1,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
126,r2-c15-b2,2,15,B2,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
127,r2-c15-b3,2,15,B3,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
128,r2-c15-b0,2,15,B0,N3,.,read-only,88631890d8b8329989f469ee0640816f6b9f8be5753334c4e8490992d0cf8abe,PLANNED
129,r2-c16-b1,2,16,B1,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
130,r2-c16-b2,2,16,B2,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
131,r2-c16-b3,2,16,B3,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
132,r2-c16-b0,2,16,B0,M1,.,workspace-write,956dbe4187b48830b6b9eb797438e04c719c7c7bc4beae9654b06869f1a8e52d,PLANNED
133,r2-c17-b1,2,17,B1,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
134,r2-c17-b2,2,17,B2,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
135,r2-c17-b3,2,17,B3,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
136,r2-c17-b0,2,17,B0,M2,.,workspace-write,ce29deca5d68949e9024ec7a65208cab346d954c9bb5f6c8b1a3da08076dac21,PLANNED
137,r3-c01-b2,3,01,B2,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
138,r3-c01-b3,3,01,B3,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
139,r3-c01-b0,3,01,B0,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
140,r3-c01-b1,3,01,B1,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
141,r3-c02-b2,3,02,B2,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
142,r3-c02-b3,3,02,B3,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
143,r3-c02-b0,3,02,B0,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
144,r3-c02-b1,3,02,B1,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
145,r3-c03-b2,3,03,B2,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
146,r3-c03-b3,3,03,B3,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
147,r3-c03-b0,3,03,B0,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
148,r3-c03-b1,3,03,B1,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
149,r3-c04-b2,3,04,B2,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
150,r3-c04-b3,3,04,B3,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
151,r3-c04-b0,3,04,B0,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
152,r3-c04-b1,3,04,B1,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
153,r3-c05-b2,3,05,B2,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
154,r3-c05-b3,3,05,B3,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
155,r3-c05-b0,3,05,B0,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
156,r3-c05-b1,3,05,B1,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
157,r3-c06-b2,3,06,B2,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
158,r3-c06-b3,3,06,B3,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
159,r3-c06-b0,3,06,B0,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
160,r3-c06-b1,3,06,B1,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
161,r3-c07-b2,3,07,B2,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
162,r3-c07-b3,3,07,B3,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
163,r3-c07-b0,3,07,B0,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
164,r3-c07-b1,3,07,B1,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
165,r3-c08-b2,3,08,B2,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
166,r3-c08-b3,3,08,B3,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
167,r3-c08-b0,3,08,B0,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
168,r3-c08-b1,3,08,B1,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
169,r3-c09-b2,3,09,B2,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
170,r3-c09-b3,3,09,B3,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
171,r3-c09-b0,3,09,B0,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
172,r3-c09-b1,3,09,B1,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
173,r3-c10-b2,3,10,B2,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
174,r3-c10-b3,3,10,B3,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
175,r3-c10-b0,3,10,B0,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
176,r3-c10-b1,3,10,B1,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
177,r3-c11-b2,3,11,B2,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
178,r3-c11-b3,3,11,B3,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
179,r3-c11-b0,3,11,B0,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
180,r3-c11-b1,3,11,B1,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
181,r3-c12-b2,3,12,B2,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
182,r3-c12-b3,3,12,B3,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
183,r3-c12-b0,3,12,B0,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
184,r3-c12-b1,3,12,B1,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
185,r3-c13-b2,3,13,B2,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
186,r3-c13-b3,3,13,B3,N1,.,read-only,c51766da4b0bba4dad0342f2e8e840ee085587085cc0ddd6c9d605db0e5dcd40,PLANNED
